Date,Close
2016-11-28,1170.89
2016-11-29,1166.75
2016-11-30,1176.39
2016-12-01,1166.73
2016-12-02,1166.31
2016-12-05,1166.15
2016-12-06,1170.53
2016-12-07,1157.27
2016-12-08,1161.37
2016-12-09,1171.89
2016-12-12,1163.73
2016-12-13,1163.3
2016-12-14,1178.72
2016-12-15,1182.39
2016-12-16,1185.57
2016-12-19,1186.69
2016-12-20,1191.21
2016-12-21,1193.19
2016-12-22,1204.25
2016-12-23,1199.35
2016-12-26,1199.99
2016-12-27,1206.67
2016-12-28,1210.93
2016-12-29,1205.39
2016-12-30,1206.25
2017-01-02,1202.93
2017-01-03,1205.81
2017-01-04,1195.15
2017-01-05,1180.79
2017-01-06,1201
2017-01-09,1202.35
2017-01-10,1200.79
2017-01-11,1186.87
2017-01-12,1174.91
2017-01-13,1174
2017-01-16,1182.37
2017-01-17,1159.83
2017-01-18,1177.37
2017-01-19,1174.18
2017-01-20,1174.39
2017-01-23,1162.23
2017-01-24,1169.23
2017-01-25,1161.7
2017-01-26,1170.99
2017-01-27,1177.82
2017-01-30,1169.71
2017-01-31,1150.65
2017-02-01,1152.71
2017-02-02,1143.09
2017-02-03,1137.51
2017-02-06,1133.59
2017-02-07,1142.39
2017-02-08,1144.2
2017-02-09,1150.02
2017-02-10,1145.59
2017-02-13,1148.71
2017-02-14,1137.89
2017-02-15,1134.27
2017-02-16,1140.99
2017-02-17,1149.77
2017-02-20,1144.37
2017-02-21,1141.89
2017-02-22,1137.48
2017-02-23,1132.09
2017-02-24,1130
2017-02-27,1133.65
2017-02-28,1136.39
2017-03-01,1139.23
2017-03-02,1149.71
2017-03-03,1151.31
2017-03-06,1154.15
2017-03-07,1149.67
2017-03-08,1153.79
2017-03-09,1159.09
2017-03-10,1147.81
2017-03-13,1146.59
2017-03-14,1148.97
2017-03-15,1127.61
2017-03-16,1127.81
2017-03-17,1128.03
2017-03-20,1113.51
2017-03-21,1122.03
2017-03-22,1116.28
2017-03-23,1121.68
2017-03-24,1116.55
2017-03-27,1110.31
2017-03-28,1115.41
2017-03-29,1110.47
2017-03-30,1117.59
2017-03-31,1116.65
2017-04-03,1116.27
2017-04-04,1124.09
2017-04-05,1127.27
2017-04-06,1130.29
2017-04-07,1136.89
2017-04-10,1142.47
2017-04-11,1144.63
2017-04-12,1133.95
2017-04-13,1135.32
2017-04-14,1135.45
2017-04-17,1132.01
2017-04-18,1141.64
2017-04-19,1142.69
2017-04-20,1137.11
2017-04-21,1133.57
2017-04-24,1133.38
2017-04-25,1127.23
2017-04-26,1132.03
2017-04-27,1130.65
2017-04-28,1136.87
2017-05-01,1136.6
2017-05-02,1128.2
2017-05-03,1132.95
2017-05-04,1134.59
2017-05-05,1134.71
2017-05-08,1132.69
2017-05-09,1138.15
2017-05-10,1131.05
2017-05-11,1123.41
2017-05-12,1122.41
2017-05-15,1117.11
2017-05-16,1115.06
2017-05-17,1122.05
2017-05-18,1128.19
2017-05-19,1116.61
2017-05-22,1115.03
2017-05-23,1124.46
2017-05-24,1118.23
2017-05-25,1119.35
2017-05-26,1117.83
